Data,SPOT,FUT,BASE
01/2020,"193,05","189,68","-3,37"
02/2020,"197,05","201,57","4,52"
03/2020,"200,36","201,5","1,14"
04/2020,"199,57","199,09","-0,48"
05/2020,"201,21","204,95","3,74"
06/2020,"209,87","218,54","8,67"
07/2020,"221,36","225,59","4,23"
08/2020,"228,48","232,99","4,51"
09/2020,"248,50","255,32","6,82"
10/2020,"264,65","273,6","8,95"
11/2020,"285,33","282,8","-2,53"
12/2020,"266,13","267,81","1,68"
01/2021,"289,01","298,07","9,06"
02/2021,"301,73","301,69","-0,04"
03/2021,"309,34","314,95","5,61"
04/2021,"316,06","313,55","-2,51"
05/2021,"310,47","313,92","3,45"
06/2021,"317,28","319,68","2,4"
07/2021,"318,63","318,19","-0,44"
08/2021,"315,13","313,48","-1,65"
09/2021,"302,05","297,16","-4,89"
10/2021,"269,56","257,65","-11,91"
11/2021,"297,66","319,35","21,69"
12/2021,"320,90","332,07","11,17"
01/2022,"338,46","342,46",4
02/2022,"340,29","343,94","3,65"
03/2022,"344,71","341,83","-2,88"
04/2022,"335,06","333,33","-1,73"
05/2022,"323,10","318,98","-4,12"
06/2022,"317,96","323,01","5,05"
07/2022,"324,41","325,4","0,99"
08/2022,"313,39","313,9","0,51"
09/2022,"303,35","303,33","-0,02"
10/2022,"296,74","289,86","-6,88"
11/2022,"283,35","286,96","3,61"
12/2022,"292,10","289,92","-2,18"
01/2023,"285,97","288,6","2,63"
02/2023,"289,72","276,22","-13,5"
03/2023,"281,80","295,47","13,67"
04/2023,"285,81","278,65","-7,16"
05/2023,"263,83","250,21","-13,62"
06/2023,"248,80","256,44","7,64"
07/2023,"250,81","243,48","-7,33"
08/2023,"220,36","200,33","-20,03"
09/2023,"212,52","229,26","16,74"
10/2023,"237,84",238,"0,16"
11/2023,"234,87","239,93","5,06"
12/2023,"248,63","251,79","3,16"
01/2024,"249,65","247,11","-2,54"
02/2024,"237,84","235,64","-2,2"
03/2024,"232,81","232,12","-0,69"
04/2024,"230,51","231,39","0,88"
05/2024,"226,92","221,6","-5,32"
06/2024,"220,70","225,44","4,74"
07/2024,"229,27","232,4","3,13"
08/2024,"235,07","238,46","3,39"
09/2024,"255,45","269,89","14,44"
10/2024,"301,13","315,3","14,17"
11/2024,"338,76","351,69","12,93"
12/2024,"320,33","316,26","-4,07"
01/2025,"324,95","325,64","0,69"
02/2025,"319,21","313,7","-5,51"
03/2025,"312,47","317,75","5,28"
04/2025,"323,96","322,26","-1,7"
05/2025,"308,15","303,58","-4,57"
06/2025,"313,51","316,4","2,89"
07/2025,"299,97","293,66","-6,31"
08/2025,"307,25","311,48","4,23"
09/2025,"307,87","304,14","-3,73"
10/2025,"310,51","317,44","6,93"
11/2025,"322,08","320,69","-1,39"
12/2025,"320,28","319,6","-0,68"
01/2026,"320,60","325,21","4,61"
02/2026,"342,25","350,57","8,32"
03/2026,"350,18","355,01","4,83"
