"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"26.03.2026","3.010,00","3.010,00","3.010,00","3.010,00","0,12K","-0,66%"
"25.03.2026","3.030,00","3.030,00","3.030,00","3.030,00","0,03K","-0,08%"
"24.03.2026","3.032,50","3.030,00","3.040,00","3.030,00","0,00K","0,85%"
"23.03.2026","3.007,00","3.000,00","3.010,00","3.000,00","0,17K","-0,40%"
"21.03.2026","3.019,00","2.990,00","3.019,00","3.019,00","0,05K","0,00%"
"20.03.2026","3.019,00","2.990,00","3.019,00","2.990,00","0,05K","0,63%"
"19.03.2026","3.000,00","3.000,00","3.000,00","3.000,00","0,02K","-0,46%"
"18.03.2026","3.014,00","2.980,00","2.980,00","2.980,00","0,01K","-0,05%"
"17.03.2026","3.015,50","3.015,50","3.015,50","3.015,50","","0,13%"
"16.03.2026","3.011,50","3.020,00","3.020,00","2.980,00","0,13K","-0,13%"
"13.03.2026","3.015,50","2.995,00","3.020,00","2.995,00","0,06K","0,23%"
"12.03.2026","3.008,50","2.970,00","2.970,00","2.970,00","0,05K","-0,38%"
"11.03.2026","3.020,00","2.990,00","2.990,00","2.990,00","0,01K","-0,98%"
"10.03.2026","3.050,00","3.050,00","3.050,00","3.050,00","0,01K","0,16%"
"09.03.2026","3.045,00","2.970,00","2.980,00","2.970,00","0,04K","2,28%"
"06.03.2026","2.977,00","2.950,00","2.950,00","2.940,00","0,11K","-0,93%"
"05.03.2026","3.005,00","2.960,00","2.960,00","2.960,00","0,03K","0,20%"
"04.03.2026","2.999,00","2.999,00","2.999,00","2.999,00","","0,55%"
"03.03.2026","2.982,50","2.980,00","3.060,00","2.980,00","0,12K","1,10%"
"02.03.2026","2.950,00","2.950,00","2.950,00","2.950,00","0,05K","1,57%"
"28.02.2026","2.904,50","2.920,00","2.904,50","2.904,50","0,27K","-2,25%"
"26.02.2026","2.971,50","2.920,00","2.970,00","2.920,00","0,27K","1,47%"
"25.02.2026","2.928,50","2.920,00","2.920,00","2.920,00","0,04K","0,46%"
"24.02.2026","2.915,00","2.950,00","2.950,00","2.900,00","0,05K","-1,19%"
"23.02.2026","2.950,00","2.950,00","2.950,00","2.950,00","","-2,40%"
"20.02.2026","3.022,50","3.030,00","3.035,00","3.000,00","0,28K","-0,66%"
"19.02.2026","3.042,50","3.030,00","3.030,00","3.030,00","0,10K","-0,47%"
"18.02.2026","3.057,00","3.057,00","3.057,00","3.057,00","","1,01%"
"13.02.2026","3.026,50","3.050,00","3.080,00","3.030,00","0,03K","-0,39%"
"12.02.2026","3.038,50","3.080,00","3.080,00","3.025,00","0,31K","-1,95%"
"11.02.2026","3.099,00","3.099,00","3.099,00","3.099,00","","-0,14%"
"10.02.2026","3.103,50","3.100,00","3.100,00","3.080,00","0,01K","-1,23%"
"09.02.2026","3.142,00","3.110,00","3.110,00","3.105,00","0,07K","0,21%"
"06.02.2026","3.135,50","3.135,50","3.135,50","3.135,50","0,01K","-0,32%"
"05.02.2026","3.145,50","3.140,00","3.150,00","3.100,00","0,16K","-0,43%"
