"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"23.03.2026","25,6900","25,5000","25,7400","25,4700","0,13K","0,35%"
"21.03.2026","25,6000","25,7600","25,6000","25,6000","0,33K","0,00%"
"20.03.2026","25,6007","25,6007","25,6007","25,6007","0,33K","-0,62%"
"19.03.2026","25,7606","25,7606","25,7606","25,7606","0,13K","0,58%"
"18.03.2026","25,6118","25,6118","25,6118","25,6118","0,43K","0,41%"
"17.03.2026","25,5071","25,5071","25,5071","25,5071","0,90K","0,15%"
"16.03.2026","25,4700","25,4700","25,4700","25,4700","0,71K","-5,71%"
"13.03.2026","27,0117","27,0117","27,0117","27,0117","0,37K","-0,16%"
"12.03.2026","27,0558","27,0558","27,0558","27,0558","0,77K","1,09%"
"11.03.2026","26,7637","26,7637","26,7637","26,7637","1,15K","1,02%"
"10.03.2026","26,4936","26,4936","26,4936","26,4936","1,49K","0,46%"
"09.03.2026","26,3724","26,3724","26,3724","26,3724","0,75K","-0,37%"
"07.03.2026","26,4700","26,1500","26,4700","26,4700","0,72K","-0,01%"
"06.03.2026","26,4716","26,4716","26,4716","26,4716","0,72K","1,82%"
"05.03.2026","25,9976","25,9976","25,9976","25,9976","0,30K","0,83%"
"04.03.2026","25,7826","25,7826","25,7826","25,7826","0,85K","-0,09%"
"03.03.2026","25,8047","25,8047","25,8047","25,8047","0,90K","0,56%"
"02.03.2026","25,6614","25,6614","25,6614","25,6614","0,49K","-0,58%"
"28.02.2026","25,8100","25,7400","25,8100","25,8100","0,93K","0,00%"
"27.02.2026","25,8102","25,8102","25,8102","25,8102","0,93K","2,00%"
"26.02.2026","25,3031","25,3031","25,3031","25,3031","0,05K","-0,04%"
"25.02.2026","25,3142","25,3142","25,3142","25,3142","0,03K","0,77%"
"24.02.2026","25,1213","25,1213","25,1213","25,1213","0,42K","0,46%"
"23.02.2026","25,0055","25,0055","25,0055","25,0055","0,67K","-0,29%"
"20.02.2026","25,0772","25,0772","25,0772","25,0772","0,27K","-0,31%"
"19.02.2026","25,1543","25,1543","25,1543","25,1543","0,22K","0,66%"
