,,,,,,,,,,,
Data,SPOT,FUT Invest,Base,ENTRAGA_V,SAÍDA_V,RESULTADO_V,450*1=,ENTRAGA_C,SAÍDA_C,RESULTADO_C,450*1=
05/03/2025,87.67,86.41,1.26,86.41,86.41,0,0,86.41,86.41,0,0
06/03/2025,87.85,86.64,1.21,86.41,86.64,-0.23,-103.5,86.41,86.64,0.23,103.5
07/03/2025,88.71,86.1,2.61,86.64,86.1,0.54,243,86.64,86.1,-0.54,-243
10/03/2025,88.52,87.85,0.67,86.1,87.85,-1.75,-787.5,86.1,87.85,1.75,787.5
11/03/2025,89.08,87.46,1.62,87.85,87.46,0.39,175.5,87.85,87.46,-0.39,-175.5
12/03/2025,89.39,88.69,0.7,87.46,88.69,-1.23,-553.5,87.46,88.69,1.23,553.5
13/03/2025,89.88,89.06,0.82,88.69,89.06,-0.37,-166.5,88.69,89.06,0.37,166.5
14/03/2025,89.83,89.75,0.08,89.06,89.75,-0.69,-310.5,89.06,89.75,0.69,310.5
17/03/2025,90.26,89.99,0.27,89.75,89.99,-0.24,-108,89.75,89.99,0.24,108
18/03/2025,90.33,84.44,5.89,89.99,84.44,5.55,2497.5,89.99,84.44,-5.55,-2497.5
19/03/2025,90.18,83.08,7.1,84.44,83.08,1.36,612,84.44,83.08,-1.36,-612
20/03/2025,90.08,80.33,9.75,83.08,80.33,2.75,1237.5,83.08,80.33,-2.75,-1237.5
21/03/2025,90.14,79.61,10.53,80.33,79.61,0.72,324,80.33,79.61,-0.72,-324
24/03/2025,89.74,19.3,9.1,79.61,19.3,30.12,30.4,79.61,19.3,29.12,30.8
25/03/2025,89.12,77.93,11.19,19.3,77.93,31.12,25.9,19.3,77.93,28.12,4.4
26/03/2025,88.94,76.98,11.96,77.93,76.98,0.95,427.5,77.93,76.98,-0.95,-427.5
27/03/2025,87.92,77.47,10.45,76.98,77.47,-0.49,-220.5,76.98,77.47,0.49,220.5
28/03/2025,87.87,17.03,09.01,77.47,17.03,30.12,28.06,77.47,17.03,29.12,03.07
31/03/2025,87.71,17.3,8.1,17.03,17.3,-0.65,-292.5,17.03,17.3,0.65,292.5
05/05/2025,79.05,78.53,0.52,17.3,78.53,29.12,30.12,17.3,78.53,30.12,29.12
06/05/2025,77.61,77.3,0.31,78.53,77.3,1.23,553.5,78.53,77.3,-1.23,-553.5
07/05/2025,76.38,76.63,-0.25,77.3,76.63,0.67,301.5,77.3,76.63,-0.67,-301.5
08/05/2025,75.93,76.39,-0.46,76.63,76.39,0.24,108,76.63,76.39,-0.24,-108
09/05/2025,75.07,18.3,26.12,76.39,18.3,27.12,23.4,76.39,18.3,1.1,7.9
12/05/2025,74.34,80.17,-5.83,18.3,80.17,28.12,9.1,18.3,80.17,31.12,20.12
13/05/2025,73.57,79.56,-5.99,80.17,79.56,0.61,274.5,80.17,79.56,-0.61,-274.5
14/05/2025,73.12,80.57,-7.45,79.56,80.57,-1.01,-454.5,79.56,80.57,1.01,454.5
15/05/2025,73.07,79.33,-6.26,80.57,79.33,1.24,558,80.57,79.33,-1.24,-558
16/05/2025,72.93,78.9,-5.97,79.33,78.9,0.43,193.5,79.33,78.9,-0.43,-193.5
19/05/2025,72.68,78.24,-5.56,78.9,78.24,0.66,297,78.9,78.24,-0.66,-297
20/05/2025,72.59,77.02,-4.43,78.24,77.02,1.22,549,78.24,77.02,-1.22,-549
21/05/2025,72.03,76.9,-4.87,77.02,76.9,0.12,54,77.02,76.9,-0.12,-54
22/05/2025,71.22,77.11,-5.89,76.9,77.11,-0.21,-94.5,76.9,77.11,0.21,94.5
