,,,,,,,,,,,
Data,SPOT,FUT Invest,Base,ENTRAGA_V,SAÍDA_V,RESULTADO_V,450*1=,ENTRAGA_C,SAÍDA_C,RESULTADO_C,450*1=
05/03/2025,309.7,298.2,11.5,298.2,298.2,0,0,298.2,298.2,0,0
06/03/2025,311,301.05,9.95,298.2,301.05,-2.85,-1282.5,298.2,301.05,2.85,1282.5
07/03/2025,311.65,302.3,9.35,301.05,302.3,-1.25,-562.5,301.05,302.3,1.25,562.5
10/03/2025,311.45,307.15,4.3,302.3,307.15,-4.85,-2182.5,302.3,307.15,4.85,2182.5
11/03/2025,311.95,305.1,6.85,307.15,305.1,2.05,922.5,307.15,305.1,-2.05,-922.5
12/03/2025,312.1,310.05,2.05,305.1,310.05,-4.95,-2227.5,305.1,310.05,4.95,2227.5
13/03/2025,312.1,309.8,2.3,310.05,309.8,0.25,112.5,310.05,309.8,-0.25,-112.5
14/03/2025,309.7,310.55,-0.85,309.8,310.55,-0.75,-337.5,309.8,310.55,0.75,337.5
17/03/2025,309.2,313.45,-4.25,310.55,313.45,-2.9,-1305,310.55,313.45,2.9,1305
18/03/2025,310.1,315.15,-5.05,313.45,315.15,-1.7,-765,313.45,315.15,1.7,765
19/03/2025,310.25,314.75,-4.5,315.15,314.75,0.4,180,315.15,314.75,-0.4,-180
20/03/2025,311.25,313.65,-2.4,314.75,313.65,1.1,495,314.75,313.65,-1.1,-495
21/03/2025,312.6,314.5,-1.9,313.65,314.5,-0.85,-382.5,313.65,314.5,0.85,382.5
24/03/2025,312.75,313.85,-1.1,314.5,313.85,0.65,292.5,314.5,313.85,-0.65,-292.5
25/03/2025,312.95,313.95,-1,313.85,313.95,-0.1,-45,313.85,313.95,0.1,45
26/03/2025,312.95,314.55,-1.6,313.95,314.55,-0.6,-270,313.95,314.55,0.6,270
27/03/2025,316.55,317.2,-0.65,314.55,317.2,-2.65,-1192.5,314.55,317.2,2.65,1192.5
28/03/2025,319.1,318,1.1,317.2,318,-0.8,-360,317.2,318,0.8,360
31/03/2025,319.5,317.75,1.75,318,317.75,0.25,112.5,318,317.75,-0.25,-112.5
02/05/2025,318.85,309.3,9.55,317.75,309.3,8.45,3802.5,317.75,309.3,-8.45,-3802.5
05/05/2025,319.45,313.15,6.3,309.3,313.15,-3.85,-1732.5,309.3,313.15,3.85,1732.5
06/05/2025,316.5,307.9,8.6,313.15,307.9,5.25,2362.5,313.15,307.9,-5.25,-2362.5
