,,,,,,,,,,,
Data,SPOT,FUT  IANVEST,Base,ENTRAGA_V,SAÍDA_V,RESULTADO_V,450*1=,ENTRAGA_C,SAÍDA_C,RESULTADO_C,450*1=
05/03/2025,133.44,129.16,4.28,129.16,129.16,0.00,0,129.16,129.16,0.00,0
06/03/2025,135.72,130.18,5.54,129.16,130.18,-1.02,-457.306137,129.16,130.18,1.02,457.306137
07/03/2025,134.19,130.34,3.85,130.18,130.34,-0.16,-74.054079,130.18,130.34,0.16,74.054079
10/03/2025,134.86,129.49,5.37,130.34,129.49,0.86,386.01432,130.34,129.49,-0.86,-386.01432
11/03/2025,134.52,130.06,4.46,129.49,130.06,-0.58,-260.3862855,129.49,130.06,0.58,260.3862855
12/03/2025,132.37,128.51,3.86,130.06,128.51,1.56,700.6190445,130.06,128.51,-1.56,-700.6190445
13/03/2025,134.88,129.52,5.36,128.51,129.52,-1.01,-454.888899,128.51,129.52,1.01,454.888899
14/03/2025,134.36,128.60,5.76,129.52,128.60,0.92,414.761769,129.52,128.60,-0.92,-414.761769
17/03/2025,133.05,127.78,5.27,128.60,127.78,0.82,367.927389,128.60,127.78,-0.82,-367.927389
18/03/2025,133.72,126.92,6.80,127.78,126.92,0.86,386.986509,127.78,126.92,-0.86,-386.986509
19/03/2025,132.78,125.92,6.86,126.92,125.92,1.00,448.8086115,126.92,125.92,-1.00,-448.8086115
20/03/2025,133.32,126.45,6.87,125.92,126.45,-0.53,-238.0222035,125.92,126.45,0.53,238.0222035
21/03/2025,133.38,127.41,5.97,126.45,127.41,-0.96,-431.373285,126.45,127.41,0.96,431.373285
24/03/2025,134.1,127.45,6.65,127.41,127.45,-0.04,-19.9653705,127.41,127.45,0.04,19.9653705
25/03/2025,132.11,125.85,6.26,127.45,125.85,1.60,721.7525025,127.45,125.85,-1.60,-721.7525025
26/03/2025,131.72,126.43,5.29,125.85,126.43,-0.58,-261.562878,125.85,126.43,0.58,261.562878
27/03/2025,133.13,128.82,4.31,126.43,128.82,-2.38,-1072.6578,126.43,128.82,2.38,1072.6578
28/03/2025,132.47,130.03,2.44,128.82,130.03,-1.21,-545.126841,128.82,130.03,1.21,545.126841
31/03/2025,132.19,128.45,3.74,130.03,128.45,1.58,711.520227,130.03,128.45,-1.58,-711.520227
02/05/2025,133.16,131.50,1.66,128.45,131.50,-3.05,-1373.16708,128.45,131.50,3.05,1373.16708
05/05/2025,132.13,130.26,1.87,131.50,130.26,1.23,554.4207,131.50,130.26,-1.23,-554.4207
06/05/2025,133.3,131.40,1.90,130.26,131.40,-1.13,-509.7681,130.26,131.40,1.13,509.7681
07/05/2025,132.6,131.43,1.17,131.40,131.43,-0.03,-14.625,131.40,131.43,0.03,14.625
08/05/2025,132.52,130.99,1.53,131.43,130.99,0.44,197.3124,131.43,130.99,-0.44,-197.3124
09/05/2025,132.53,131.04,1.49,130.99,131.04,-0.04,-19.56555,130.99,131.04,0.04,19.56555
12/05/2025,133.42,134.20,-0.78,131.04,134.20,-3.16,-1423.93365,131.04,134.20,3.16,1423.93365
13/05/2025,132.94,133.16,-0.22,134.20,133.16,1.04,468.648,134.20,133.16,-1.04,-468.648
14/05/2025,132.98,133.22,-0.24,133.16,133.22,-0.07,-29.3841,133.16,133.22,0.07,29.3841
15/05/2025,131.74,130.55,1.19,133.22,130.55,2.67,1200.9843,133.22,130.55,-2.67,-1200.9843
16/05/2025,132.49,131.77,0.72,130.55,131.77,-1.21,-545.89005,130.55,131.77,1.21,545.89005
19/05/2025,132.68,131.05,1.63,131.77,131.05,0.72,322.48125,131.77,131.05,-0.72,-322.48125
20/05/2025,132.73,131.40,1.33,131.05,131.40,-0.35,-157.6053,131.05,131.40,0.35,157.6053
21/05/2025,133.66,132.53,1.13,131.40,132.53,-1.13,-508.81545,131.40,132.53,1.13,508.81545
22/05/2025,133.76,132.67,1.09,132.53,132.67,-0.14,-62.89065,132.53,132.67,0.14,62.89065
23/05/2025,133.67,132.92,0.75,132.67,132.92,-0.25,-112.7961,132.67,132.92,0.25,112.7961
26/05/2025,133.45,132.30,1.15,132.92,132.30,0.62,277.93305,132.92,132.30,-0.62,-277.93305
27/05/2025,133.72,132.34,1.38,132.30,132.34,-0.04,-17.6274,132.30,132.34,0.04,17.6274
28/05/2025,133.98,131.62,2.36,132.34,131.62,0.72,324.71685,132.34,131.62,-0.72,-324.71685
29/05/2025,133,131.15,1.85,131.62,131.15,0.48,214.08885,131.62,131.15,-0.48,-214.08885
30/05/2025,134.56,131.12,3.44,131.15,131.12,0.03,14.1075,131.15,131.12,-0.03,-14.1075
03/11/2025,140.2,133.80,6.40,131.12,133.80,-2.69,-1208.6739,131.12,133.80,2.69,1208.6739
04/11/2025,140.38,133.09,7.29,133.80,133.09,0.71,318.83355,133.80,133.09,-0.71,-318.83355
05/11/2025,140.22,134.53,5.69,133.09,134.53,-1.44,-648.5904,133.09,134.53,1.44,648.5904
06/11/2025,139.31,130.51,8.80,134.53,130.51,4.02,1809.4959,134.53,130.51,-4.02,-1809.4959
07/11/2025,138.86,131.92,6.94,130.51,131.92,-1.41,-633.62385,130.51,131.92,1.41,633.62385
10/11/2025,139.72,132.46,7.26,131.92,132.46,-0.54,-242.1819,131.92,132.46,0.54,242.1819
11/11/2025,138.93,131.02,7.91,132.46,131.02,1.44,649.0215,132.46,131.02,-1.44,-649.0215
12/11/2025,140.09,132.14,7.95,131.02,132.14,-1.13,-507.5847,131.02,132.14,1.13,507.5847
13/11/2025,139.99,133.57,6.42,132.14,133.57,-1.42,-639.89325,132.14,133.57,1.42,639.89325
14/11/2025,140.08,131.25,8.83,133.57,131.25,2.31,1041.0624,133.57,131.25,-2.31,-1041.0624
17/11/2025,140.29,135.52,4.77,131.25,135.52,-4.26,-1918.4265,131.25,135.52,4.26,1918.4265
18/11/2025,141.13,135.47,5.66,135.52,135.47,0.05,21.58155,135.52,135.47,-0.05,-21.58155
19/11/2025,141.7,133.62,8.08,135.47,133.62,1.85,833.24025,135.47,133.62,-1.85,-833.24025
21/11/2025,140.93,133.66,7.27,133.62,133.66,-0.05,-20.421,133.62,133.66,0.05,20.421
24/11/2025,140.53,133.56,6.97,133.66,133.56,0.10,45.7596,133.66,133.56,-0.10,-45.7596
25/11/2025,141.08,133.51,7.57,133.56,133.51,0.05,22.3164,133.56,133.51,-0.05,-22.3164
26/11/2025,141.7,133.90,7.80,133.51,133.90,-0.39,-174.1824,133.51,133.90,0.39,174.1824
27/11/2025,141.9,133.39,8.51,133.90,133.39,0.51,228.9492,133.90,133.39,-0.51,-228.9492
28/11/2025,141.94,133.76,8.18,133.39,133.76,-0.37,-165.402,133.39,133.76,0.37,165.402
,,,,133.76,,,,133.76,,,
