Data,SPOT,FUT,BASE
02/01/2026,"3056,5000","3107,50",-51
05/01/2026,"3096,0000","3115,50","-19,5"
06/01/2026,"3113,5000","3165,00","-51,5"
07/01/2026,"3118,0000","3163,00",-45
08/01/2026,"3132,5000","3162,50",-30
09/01/2026,"3145,5000","3165,50",-20
12/01/2026,"3161,5000","3182,00","-20,5"
13/01/2026,"3152,5000","3195,50",-43
14/01/2026,"3158,0000","3190,50","-32,5"
15/01/2026,"3165,5000","3203,00","-37,5"
16/01/2026,"3175,0000","3209,00",-34
19/01/2026,"3176,5000","3206,00","-29,5"
20/01/2026,"3169,0000","3207,50","-38,5"
21/01/2026,"3163,5000","3175,00","-11,5"
22/01/2026,"3164,5000","3179,50",-15
23/01/2026,"3183,0000","3180,00",3
26/01/2026,"3186,0000","3198,50","-12,5"
27/01/2026,"3170,5000","3197,50",-27
28/01/2026,"3171,0000","3182,00",-11
29/01/2026,"3156,0000","3165,50","-9,5"
02/02/2026,"3153,0000","3185,50","-32,5"
03/02/2026,"3160,0000","3159,00",1
04/02/2026,"3146,5000","3145,50",1
05/02/2026,"3136,5000","3135,50",1
06/02/2026,"3143,0000","3142,00",1
09/02/2026,"3135,0000","3103,50","31,5"
10/02/2026,"3130,5000","3099,00","31,5"
11/02/2026,"3131,5000","3038,50",93
12/02/2026,"3119,0000","3026,50","92,5"
13/02/2026,"3100,0000","3057,00",43
18/02/2026,"3085,5000","3042,50",43
19/02/2026,"3083,0000","3022,50","60,5"
20/02/2026,"3009,0000","2950,00",59
23/02/2026,"2973,5000","2915,00","58,5"
24/02/2026,"2955,5000","2928,50",27
25/02/2026,"2946,5000","2971,50",-25
26/02/2026,"2954,0000","2904,50","49,5"
02/03/2026,"3003,0000","2982,50","20,5"
03/03/2026,"3020,0000","2999,00",21
04/03/2026,"3029,0000","3005,00",24
05/03/2026,"3023,0000","2977,00",46
06/03/2026,"3016,0000","3045,00",-29
09/03/2026,"3049,5000","3050,00","-0,5"
10/03/2026,"3051,5000","3020,00","31,5"
11/03/2026,"3040,0000","3008,50","31,5"
12/03/2026,"3047,0000","3015,50","31,5"
13/03/2026,"3043,0000","3011,50","31,5"
16/03/2026,"3047,0000","3015,50","31,5"
17/03/2026,"3039,5000","3014,00","25,5"
18/03/2026,"3023,0000","3000,00",23
19/03/2026,"3050,0000","3019,00",31
20/03/2026,"3044,5000","3019,00","25,5"
23/03/2026,"3056,0000","3007,00",49
24/03/2026,"3050,5000","3032,50",18
25/03/2026,"3035,0000","3024,50","10,5"
26/03/2026,"3012,5000","3030,00","-17,5"
27/03/2026,"3023,0000","3040,50","-17,5"
30/03/2026,"3013,0000","3040,50","-27,5"
