Data,SPOT,FUT,BASE
01/2020,"21132,8409","21154,00","-21,16"
02/2020,"21188,0556","21207,50","-19,44"
03/2020,"11819,1818","11474,00","345,18"
04/2020,"11424,3000","11386,50","37,80"
05/2020,"11497,4250","11586,50","-89,08"
06/2020,"11696,2857","11673,50","22,79"
07/2020,"11698,0652","11762,50","-64,43"
08/2020,"11791,8571","11887,50","-95,64"
09/2020,"11864,7857","11907,50","-42,71"
10/2020,"21047,7619","21105,00","-57,24"
11/2020,"21125,2500","21130,50","-5,25"
12/2020,"21110,5000","21105,50","5,00"
01/2021,"21163,8684","21200,00","-36,13"
02/2021,"21464,5000","21775,50","-311,00"
03/2021,"21727,3043","21349,00","378,30"
04/2021,"21621,6500","21725,50","-103,85"
05/2021,"21999,5238","21959,00","40,52"
06/2021,"21962,0714","21874,00","88,07"
07/2021,"21988,5714","31023,00","-34,43"
08/2021,"31203,1818","31273,00","-69,82"
09/2021,"31333,3095","31365,50","-32,19"
10/2021,"31594,5500","31897,50","-302,95"
11/2021,"31780,8500","31587,50","193,35"
12/2021,"31421,5000","31403,00","18,50"
01/2022,"31332,6429","31179,00","153,64"
02/2022,"21937,0000","21936,00","1,00"
03/2022,"31312,9318","31478,50","-165,57"
04/2022,"31743,3684","31594,50","148,87"
05/2022,"31389,1364","31244,00","145,14"
06/2022,"31135,0476","31080,00","55,05"
07/2022,"31018,5238","31035,00","-16,48"
08/2022,"21733,0435","21478,00","255,04"
09/2022,"21458,5000","21580,50","-122,00"
10/2022,"21768,0250","21795,00","-26,97"
11/2022,"21921,9250","21895,00","26,93"
12/2022,"21871,6667","21971,50","-99,83"
01/2023,"21767,2045","21852,00","-84,80"
02/2023,"21803,4444","21819,50","-16,06"
03/2023,"21814,2609","21826,00","-11,74"
04/2023,"31043,7500","31081,00","-37,25"
05/2023,"21694,5455","21651,50","43,05"
06/2023,"21636,0000","21613,00","23,00"
07/2023,"21270,5476","21235,50","35,05"
08/2023,"21251,4783","21303,00","-51,52"
09/2023,"21293,3000","21276,00","17,30"
10/2023,"21308,6667","21317,50","-8,83"
11/2023,"21239,1500","21177,00","62,15"
12/2023,"21019,5526","21004,00","15,55"
01/2024,"21062,5000","21247,50","-185,00"
02/2024,"21249,8947","21235,00","14,89"
03/2024,"21244,7250","21380,00","-135,28"
04/2024,"21480,5455","21427,50","53,05"
05/2024,"21415,5238","21406,50","9,02"
06/2024,"21488,8250","21564,00","-75,18"
07/2024,"21706,9348","21692,50","14,43"
08/2024,"21694,2727","21677,00","17,27"
09/2024,"21576,9524","21600,50","-23,55"
10/2024,"21655,7609","21704,00","-48,24"
11/2024,"21727,6053","21726,50","1,11"
12/2024,"21740,2368","21745,50","-5,26"
01/2025,"21891,1591","21929,50","-38,34"
02/2025,"21948,2750","21943,50","4,78"
03/2025,"21880,1842","21834,00","46,18"
04/2025,"21825,5000","21807,00","18,50"
05/2025,"21780,0476","21705,00","75,05"
06/2025,"21668,1250","21718,00","-49,88"
07/2025,"21661,1304","21715,00","-53,87"
08/2025,"21771,3095","21815,00","-43,69"
09/2025,"21853,1818","21830,50","22,68"
10/2025,"21844,4565","21886,00","-41,54"
11/2025,"21932,1579","21965,00","-32,84"
12/2025,"31012,8750","31029,00","-16,13"
01/2026,"31151,0476","31168,00","-16,95"
02/2026,"31074,0278","21971,50","102,53"
03/2026,"31033,7955","31040,00","-6,20"
