"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"24.03.2026","354,35","354,05","354,90","353,50","0,63K","-0,10%"
"23.03.2026","354,70","353,00","355,65","352,35","0,79K","0,35%"
"20.03.2026","353,45","350,30","352,30","350,00","1,32K","0,88%"
"19.03.2026","350,35","347,15","350,60","347,00","2,35K","0,92%"
"18.03.2026","347,15","345,65","348,00","345,00","2,93K","0,35%"
"17.03.2026","345,95","348,70","349,35","346,75","0,95K","-0,79%"
"16.03.2026","348,70","347,50","349,45","347,05","0,79K","0,36%"
"13.03.2026","347,45","349,90","350,40","346,55","1,48K","-0,71%"
"12.03.2026","349,95","349,55","353,00","348,55","1,52K","0,33%"
"11.03.2026","348,80","348,00","348,80","345,55","2,77K","0,26%"
"10.03.2026","347,90","348,40","349,65","345,00","1,91K","-0,09%"
"09.03.2026","348,20","344,10","348,25","342,35","1,73K","1,13%"
"06.03.2026","344,30","342,65","344,85","340,30","3,18K","0,23%"
"05.03.2026","343,50","346,30","346,60","343,20","2,06K","-0,48%"
"04.03.2026","345,15","343,50","346,65","338,60","5,49K","0,48%"
"03.03.2026","343,50","349,40","349,45","341,10","5,91K","-1,74%"
"02.03.2026","349,60","354,30","354,90","346,55","5,04K","-0,28%"
"27.02.2026","350,57","350,05","350,80","350,05","0,11K","0,16%"
"26.02.2026","350,00","350,00","350,40","349,85","0,82K","-0,04%"
"25.02.2026","350,15","350,70","351,20","350,00","1,39K","-0,14%"
"24.02.2026","350,65","349,75","351,80","349,40","2,48K","0,19%"
"23.02.2026","350,00","349,20","352,05","348,85","2,14K","0,16%"
"20.02.2026","349,45","345,40","350,00","345,40","3,89K","1,14%"
"19.02.2026","345,50","345,35","346,15","343,95","2,00K","-0,01%"
"18.02.2026","345,55","344,90","346,55","344,75","1,11K","0,25%"
"13.02.2026","344,70","344,35","345,20","343,25","1,80K","0,09%"
"12.02.2026","344,40","344,00","345,85","343,20","0,89K","-0,03%"
"11.02.2026","344,50","342,60","345,00","342,50","1,20K","0,55%"
"10.02.2026","342,60","342,70","344,00","341,70","1,21K","-0,09%"
"09.02.2026","342,90","343,80","344,90","340,75","3,49K","-0,36%"
"06.02.2026","344,15","344,05","344,95","343,40","2,42K","0,04%"
"05.02.2026","344,00","342,55","345,00","342,30","3,06K","0,45%"
"04.02.2026","342,45","340,20","343,15","339,65","2,57K","0,57%"
"03.02.2026","340,50","339,20","341,50","337,35","3,29K","0,40%"
"02.02.2026","339,15","340,00","341,60","338,65","2,24K","4,29%"
"30.01.2026","325,21","325,05","325,40","325,00","0,97K","0,10%"
"29.01.2026","324,90","324,30","325,05","324,30","0,85K","0,11%"
"28.01.2026","324,55","322,90","325,00","322,90","1,61K","0,48%"
"27.01.2026","323,00","322,00","323,30","322,00","1,70K","0,23%"
"26.01.2026","322,25","321,50","322,50","321,10","0,86K","0,11%"
"24.01.2026","321,90","321,90","321,90","321,90","0,55K","0,00%"
"23.01.2026","321,90","321,90","322,10","321,45","0,55K","0,08%"
"22.01.2026","321,65","321,55","322,35","319,80","2,08K","-0,09%"
"21.01.2026","321,95","321,05","322,70","320,10","1,66K","0,14%"
"20.01.2026","321,50","320,50","321,85","319,25","2,93K","0,28%"
"19.01.2026","320,60","318,15","321,00","317,50","2,53K","0,93%"
"16.01.2026","317,65","317,10","318,65","316,75","2,50K","0,05%"
"15.01.2026","317,50","318,45","318,45","317,05","2,01K","-0,11%"
"14.01.2026","317,85","318,90","320,00","317,15","1,70K","-0,42%"
"13.01.2026","319,20","319,10","320,20","318,50","1,98K","0,00%"
"12.01.2026","319,20","318,00","320,00","316,25","3,64K","0,30%"
"09.01.2026","318,25","318,00","318,20","318,00","1,26K","-0,36%"
"08.01.2026","319,40","319,25","320,20","319,25","2,01K","0,19%"
"07.01.2026","318,80","318,70","318,80","318,70","0,03K","-0,50%"
"06.01.2026","320,40","320,40","320,40","320,00","2,43K","-0,34%"
"05.01.2026","321,50","322,00","322,30","321,50","4,02K","1,42%"
"02.01.2026","317,00","317,25","317,70","317,25","0,03K","-0,81%"
