"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"24.03.2026","71,91","72,12","72,60","71,66","3,93K","-0,10%"
"23.03.2026","71,98","71,91","72,16","71,50","3,70K","0,00%"
"20.03.2026","71,98","72,03","72,59","71,90","4,81K","0,15%"
"19.03.2026","71,87","72,52","73,22","71,61","8,53K","-0,65%"
"18.03.2026","72,34","72,09","72,60","71,25","11,39K","0,37%"
"17.03.2026","72,07","72,43","73,69","71,90","13,72K","0,26%"
"16.03.2026","71,88","71,76","71,94","71,73","0,87K","0,08%"
"13.03.2026","71,82","71,81","71,94","71,73","0,74K","-0,07%"
"12.03.2026","71,87","71,90","71,97","71,61","1,12K","-0,06%"
"11.03.2026","71,91","71,73","72,10","71,60","3,02K","0,18%"
"10.03.2026","71,78","72,33","72,50","71,55","4,00K","-0,87%"
"09.03.2026","72,41","72,30","72,65","72,23","1,62K","0,12%"
"06.03.2026","72,32","72,30","72,54","72,30","5,18K","0,56%"
"05.03.2026","71,92","71,91","72,10","71,90","3,70K","0,39%"
"04.03.2026","71,64","71,55","71,92","71,55","6,58K","-1,05%"
"03.03.2026","72,40","72,45","72,50","72,40","4,67K","0,91%"
"02.03.2026","71,75","71,75","71,85","71,61","7,72K","-0,54%"
"27.02.2026","72,14","72,15","72,29","72,01","11,43K","1,11%"
"26.02.2026","71,35","71,44","71,50","71,42","5,06K","1,12%"
"25.02.2026","70,56","70,50","70,63","70,43","5,68K","-0,45%"
"24.02.2026","70,88","70,69","70,70","70,39","5,86K","-0,58%"
"23.02.2026","71,29","71,29","71,29","71,22","8,76K","-0,97%"
"20.02.2026","71,99","72,04","72,04","71,97","7,00K","0,98%"
"19.02.2026","71,29","71,29","71,56","71,29","4,06K","0,34%"
"18.02.2026","71,05","70,99","70,99","70,83","2,91K","-0,10%"
"13.02.2026","71,12","70,99","71,20","70,97","4,66K","0,54%"
"12.02.2026","70,74","70,77","70,86","70,70","5,53K","0,99%"
"11.02.2026","70,05","69,96","70,02","69,96","6,65K","0,30%"
"10.02.2026","69,84","69,90","69,98","69,84","5,58K","1,36%"
"09.02.2026","68,90","68,84","68,84","68,70","4,95K","-0,25%"
"06.02.2026","69,07","68,91","69,22","68,91","8,78K","-1,43%"
"05.02.2026","70,07","70,10","70,10","70,07","3,52K","0,42%"
"04.02.2026","69,78","69,73","69,73","69,73","8,13K","-0,60%"
"03.02.2026","70,20","70,20","70,24","70,10","7,60K","1,40%"
"02.02.2026","69,23","69,34","69,44","69,33","3,98K","0,00%"
"30.01.2026","69,23","69,16","69,16","69,02","9,26K","1,17%"
"29.01.2026","68,43","68,43","68,50","68,34","5,87K","0,69%"
"28.01.2026","67,96","67,81","68,06","67,81","6,29K","-1,44%"
"27.01.2026","68,95","68,86","68,98","68,85","7,66K","-0,07%"
"26.01.2026","69,00","68,93","69,15","68,93","3,71K","0,38%"
"23.01.2026","68,74","68,80","69,05","68,80","4,72K","-0,82%"
"22.01.2026","69,31","69,05","69,37","69,01","6,76K","-0,57%"
"21.01.2026","69,71","69,70","69,77","69,65","7,57K","-1,64%"
"20.01.2026","70,87","70,95","70,95","70,74","6,10K","-0,35%"
"19.01.2026","71,12","71,14","71,14","71,14","2,50K","-0,06%"
"16.01.2026","71,16","71,27","71,40","71,17","2,83K","3,84%"
"15.01.2026","68,53","68,53","68,53","68,53","0,75K","-0,23%"
"14.01.2026","68,69","68,75","68,75","68,66","1,53K","0,16%"
"13.01.2026","68,58","68,51","68,53","68,50","1,02K","-0,36%"
"12.01.2026","68,83","68,81","68,81","68,80","2,40K","0,15%"
"09.01.2026","68,73","68,75","68,75","68,74","1,71K","-0,09%"
"08.01.2026","68,79","68,65","68,85","68,62","1,84K","-0,29%"
"07.01.2026","68,99","68,94","68,94","68,91","3,65K","-0,61%"
"06.01.2026","69,41","69,49","69,56","69,49","2,16K","-0,24%"
"05.01.2026","69,58","69,52","69,68","69,50","3,67K","-0,60%"
"02.01.2026","70,00","70,07","70,08","70,01","2,20K","-0,36%"
