Milho | INDICADOR DO MILHO ESALQ/BM&FBOVESPA;;
Nota;à vista por saca de 60 kg, descontado o Prazo de Pagamento pela taxa CDI/CETIP.;
Fonte;Cepea;
Data;À vista R$;À vista US$
01/2006;17,55;7,72
02/2006;16,52;7,64
03/2006;14,62;6,80
04/2006;14,44;6,79
05/2006;15,25;7,01
06/2006;16,47;7,34
07/2006;16,69;7,62
08/2006;16,86;7,82
09/2006;17,94;8,27
10/2006;21,09;9,82
11/2006;22,93;10,62
12/2006;24,96;11,61
01/2007;25,02;11,70
02/2007;22,02;10,50
03/2007;20,20;9,67
04/2007;19,21;9,45
05/2007;18,93;9,57
06/2007;19,58;10,13
07/2007;18,97;10,08
08/2007;22,13;11,26
09/2007;26,95;14,21
10/2007;27,36;15,21
11/2007;31,72;17,90
12/2007;33,80;18,92
01/2008;30,93;17,44
02/2008;27,79;16,10
03/2008;27,19;15,93
04/2008;26,62;15,78
05/2008;27,43;16,53
06/2008;26,88;16,62
07/2008;27,76;17,45
08/2008;24,56;15,24
09/2008;23,78;13,25
10/2008;22,32;10,26
11/2008;20,51;9,04
12/2008;20,75;8,65
01/2009;23,67;10,24
02/2009;22,26;9,63
03/2009;20,62;8,92
04/2009;21,29;9,66
05/2009;22,25;10,80
06/2009;22,24;11,35
07/2009;20,55;10,65
08/2009;19,42;10,52
09/2009;19,12;10,52
10/2009;20,60;11,86
11/2009;20,41;11,81
12/2009;20,02;11,43
01/2010;19,66;11,04
02/2010;18,35;9,97
03/2010;18,47;10,34
04/2010;18,16;10,33
05/2010;18,67;10,28
06/2010;19,43;10,74
07/2010;18,84;10,64
08/2010;20,56;11,68
09/2010;24,36;14,17
10/2010;25,15;14,93
11/2010;28,29;16,50
12/2010;28,36;16,74
01/2011;30,35;18,11
02/2011;31,68;18,99
03/2011;31,44;18,94
04/2011;29,94;18,88
05/2011;28,69;17,79
06/2011;30,75;19,36
07/2011;30,31;19,39
08/2011;30,20;18,93
09/2011;31,92;18,23
10/2011;30,75;17,38
11/2011;29,81;16,67
12/2011;28,18;15,32
01/2012;31,08;17,39
02/2012;28,40;16,54
03/2012;28,89;16,11
04/2012;25,83;13,93
05/2012;24,91;12,55
06/2012;24,13;11,77
07/2012;29,01;14,29
08/2012;33,25;16,39
09/2012;32,23;15,90
10/2012;31,35;15,45
11/2012;34,09;16,46
12/2012;34,96;16,81
01/2013;32,75;16,14
02/2013;32,34;16,39
03/2013;30,71;15,48
04/2013;26,41;13,19
05/2013;26,02;12,76
06/2013;26,45;12,17
07/2013;25,00;11,10
08/2013;24,04;10,25
09/2013;25,07;11,06
10/2013;24,12;11,01
11/2013;25,59;11,13
12/2013;26,45;11,27
01/2014;26,83;11,26
02/2014;30,62;12,87
03/2014;32,84;14,12
04/2014;31,18;13,96
05/2014;28,75;12,94
06/2014;26,38;11,80
07/2014;23,66;10,63
08/2014;22,91;10,10
09/2014;22,02;9,44
10/2014;23,62;9,64
11/2014;27,66;10,84
12/2014;27,67;10,47
01/2015;27,41;10,40
02/2015;27,99;9,94
03/2015;29,44;9,37
04/2015;27,61;9,08
05/2015;25,34;8,28
06/2015;25,03;8,05
07/2015;25,99;8,07
08/2015;27,40;7,80
09/2015;31,04;7,95
10/2015;32,83;8,46
11/2015;33,57;8,89
12/2015;35,33;9,13
01/2016;41,65;10,27
02/2016;42,98;10,82
03/2016;47,79;12,94
04/2016;48,92;13,77
05/2016;51,48;14,55
06/2016;49,12;14,35
07/2016;44,42;13,56
08/2016;45,43;14,17
09/2016;41,91;12,88
10/2016;42,12;13,23
11/2016;38,77;11,62
12/2016;38,29;11,43
01/2017;35,92;11,25
02/2017;36,21;11,67
03/2017;33,77;10,80
04/2017;28,32;9,02
05/2017;27,76;8,66
06/2017;26,75;8,12
07/2017;26,33;8,23
08/2017;26,67;8,46
09/2017;29,11;9,28
10/2017;31,26;9,78
11/2017;31,75;9,74
12/2017;32,38;9,83
01/2018;32,70;10,19
02/2018;34,76;10,72
03/2018;41,37;12,62
04/2018;39,92;11,72
05/2018;42,69;11,73
06/2018;40,55;10,73
07/2018;37,22;9,73
08/2018;41,17;10,48
09/2018;40,31;9,81
10/2018;36,43;9,68
11/2018;36,56;9,65
12/2018;37,83;9,74
01/2019;38,91;10,41
02/2019;40,89;10,99
03/2019;39,82;10,36
04/2019;36,42;9,36
05/2019;34,84;8,72
06/2019;38,04;9,85
07/2019;37,10;9,82
08/2019;36,41;9,05
09/2019;37,64;9,13
10/2019;41,51;10,17
11/2019;44,54;10,71
12/2019;48,16;11,72
01/2020;51,07;12,31
02/2020;51,69;11,89
03/2020;57,41;11,73
04/2020;52,92;9,95
05/2020;50,12;8,90
06/2020;47,76;9,19
07/2020;49,70;9,42
08/2020;56,62;10,36
09/2020;60,06;11,12
10/2020;72,71;12,91
11/2020;80,31;14,82
12/2020;75,33;14,65
01/2021;83,65;15,61
02/2021;83,89;15,47
03/2021;91,51;16,23
04/2021;97,15;17,47
05/2021;100,72;19,03
06/2021;92,09;18,32
07/2021;97,48;18,88
08/2021;98,64;18,79
09/2021;92,44;17,47
10/2021;89,92;16,25
11/2021;84,19;15,15
12/2021;88,03;15,56
01/2022;96,04;17,39
02/2022;96,85;18,66
03/2022;99,69;20,08
04/2022;88,78;18,69
05/2022;87,36;17,67
06/2022;85,64;16,96
07/2022;81,98;15,28
08/2022;82,52;16,04
09/2022;84,06;16,07
10/2022;84,53;16,10
11/2022;84,99;16,10
12/2022;86,01;16,38
01/2023;86,11;16,58
02/2023;85,74;16,56
03/2023;84,88;16,31
04/2023;74,85;14,92
05/2023;58,16;11,68
06/2023;55,04;11,37
07/2023;54,98;11,45
08/2023;53,34;10,88
09/2023;54,63;11,04
10/2023;59,13;11,68
11/2023;60,65;12,38
12/2023;66,77;13,63
01/2024;65,83;13,39
02/2024;62,58;12,61
03/2024;62,72;12,60
04/2024;59,63;11,64
05/2024;58,92;11,47
06/2024;57,86;10,73
07/2024;57,22;10,32
08/2024;59,58;10,73
09/2024;62,60;11,30
10/2024;68,79;12,22
11/2024;73,68;12,70
12/2024;72,92;11,96
01/2025;74,17;12,34
02/2025;80,76;14,01
03/2025;89,12;15,52
04/2025;83,67;14,49
05/2025;73,30;12,93
06/2025;68,15;12,29
07/2025;63,63;11,51
08/2025;63,87;11,73
09/2025;64,77;12,07
10/2025;65,35;12,13
11/2025;67,54;12,65
12/2025;69,62;12,76
01/2026;67,84;12,72
02/2026;67,86;13,05
03/2026;69,99;13,41
