Boi | INDICADOR DO BOI GORDO CEPEA/ESALQ;
Nota;por arroba, descontado o Prazo de Pagamento pela taxa CDI/CETIP
Fonte;Cepea
Data;Valor
01/2006;49,64
02/2006;50,53
03/2006;49,60
04/2006;50,26
05/2006;48,85
06/2006;48,83
07/2006;50,41
08/2006;55,90
09/2006;59,01
10/2006;61,55
11/2006;55,05
12/2006;53,48
01/2007;53,57
02/2007;55,14
03/2007;55,93
04/2007;55,82
05/2007;55,55
06/2007;57,40
07/2007;61,48
08/2007;64,35
09/2007;61,40
10/2007;63,82
11/2007;72,54
12/2007;74,21
01/2008;74,61
02/2008;74,85
03/2008;76,19
04/2008;77,24
05/2008;80,52
06/2008;91,53
07/2008;92,79
08/2008;92,05
09/2008;88,82
10/2008;90,79
11/2008;88,39
12/2008;82,20
01/2009;84,01
02/2009;81,54
03/2009;77,54
04/2009;80,03
05/2009;79,47
06/2009;80,85
07/2009;81,39
08/2009;77,92
09/2009;77,25
10/2009;77,18
11/2009;74,35
12/2009;74,64
01/2010;75,70
02/2010;77,03
03/2010;79,03
04/2010;82,33
05/2010;80,81
06/2010;82,16
07/2010;84,15
08/2010;88,99
09/2010;93,49
10/2010;100,62
11/2010;113,01
12/2010;104,90
01/2011;103,07
02/2011;104,30
03/2011;105,46
04/2011;104,23
05/2011;100,41
06/2011;97,22
07/2011;99,34
08/2011;101,15
09/2011;98,57
10/2011;99,77
11/2011;106,17
12/2011;101,75
01/2012;98,77
02/2012;97,06
03/2012;94,16
04/2012;95,51
05/2012;93,13
06/2012;92,72
07/2012;91,05
08/2012;90,48
09/2012;96,11
10/2012;95,71
11/2012;97,50
12/2012;96,30
01/2013;97,54
02/2013;98,09
03/2013;98,16
04/2013;99,93
05/2013;97,91
06/2013;99,01
07/2013;102,42
08/2013;101,41
09/2013;106,94
10/2013;108,95
11/2013;108,55
12/2013;112,83
01/2014;114,17
02/2014;118,05
03/2014;124,65
04/2014;124,44
05/2014;121,88
06/2014;121,70
07/2014;119,36
08/2014;123,24
09/2014;128,58
10/2014;134,02
11/2014;143,10
12/2014;143,08
01/2015;143,06
02/2015;143,39
03/2015;145,35
04/2015;149,44
05/2015;147,86
06/2015;146,19
07/2015;142,27
08/2015;141,26
09/2015;143,67
10/2015;147,51
11/2015;148,52
12/2015;146,88
01/2016;149,54
02/2016;154,00
03/2016;155,80
04/2016;157,39
05/2016;154,38
06/2016;156,67
07/2016;155,59
08/2016;150,65
09/2016;150,08
10/2016;151,33
11/2016;149,89
12/2016;149,32
01/2017;148,39
02/2017;144,99
03/2017;143,33
04/2017;136,80
05/2017;136,07
06/2017;128,66
07/2017;124,50
08/2017;133,71
09/2017;143,47
10/2017;140,78
11/2017;141,00
12/2017;145,23
01/2018;146,53
02/2018;145,09
03/2018;144,80
04/2018;143,16
05/2018;140,59
06/2018;138,53
07/2018;141,72
08/2018;144,81
09/2018;149,68
10/2018;148,56
11/2018;146,26
12/2018;150,21
01/2019;152,23
02/2019;150,38
03/2019;152,91
04/2019;157,29
05/2019;152,75
06/2019;149,95
07/2019;153,12
08/2019;154,41
09/2019;158,31
10/2019;163,26
11/2019;201,16
12/2019;211,97
01/2020;193,05
02/2020;197,05
03/2020;200,36
04/2020;199,57
05/2020;201,21
06/2020;209,87
07/2020;221,36
08/2020;228,48
09/2020;248,50
10/2020;264,65
11/2020;285,33
12/2020;266,13
01/2021;289,01
02/2021;301,73
03/2021;309,34
04/2021;316,06
05/2021;310,47
06/2021;317,28
07/2021;318,63
08/2021;315,13
09/2021;302,05
10/2021;269,56
11/2021;297,66
12/2021;320,90
01/2022;338,46
02/2022;340,29
03/2022;344,71
04/2022;335,06
05/2022;323,10
06/2022;317,96
07/2022;324,41
08/2022;313,39
09/2022;303,35
10/2022;296,74
11/2022;283,35
12/2022;292,10
01/2023;285,97
02/2023;289,72
03/2023;281,80
04/2023;285,81
05/2023;263,83
06/2023;248,80
07/2023;250,81
08/2023;220,36
09/2023;212,52
10/2023;237,84
11/2023;234,87
12/2023;248,63
01/2024;249,65
02/2024;237,84
03/2024;232,81
04/2024;230,51
05/2024;226,92
06/2024;220,70
07/2024;229,27
08/2024;235,07
09/2024;255,45
10/2024;301,13
11/2024;338,76
12/2024;320,33
01/2025;324,95
02/2025;319,21
03/2025;312,47
04/2025;323,96
05/2025;308,15
06/2025;313,51
07/2025;299,97
08/2025;307,25
09/2025;307,87
10/2025;310,51
11/2025;322,08
12/2025;320,28
01/2026;320,60
02/2026;342,25
03/2026;348,62
