Boi | INDICADOR DO BOI GORDO CEPEA/ESALQ;
Nota;por arroba, descontado o Prazo de Pagamento pela taxa CDI/CETIP
Fonte;Cepea
Data;Valor
02/01/2026;319,20
05/01/2026;318,50
06/01/2026;318,65
07/01/2026;318,15
08/01/2026;319,30
09/01/2026;319,40
12/01/2026;319,40
13/01/2026;318,65
14/01/2026;318,55
15/01/2026;317,85
16/01/2026;318,05
19/01/2026;318,65
20/01/2026;321,00
21/01/2026;319,10
22/01/2026;321,20
23/01/2026;321,40
26/01/2026;322,70
27/01/2026;323,10
28/01/2026;326,00
29/01/2026;326,80
30/01/2026;326,90
02/02/2026;327,20
03/02/2026;328,90
04/02/2026;333,25
05/02/2026;336,15
06/02/2026;336,95
09/02/2026;337,20
10/02/2026;337,30
11/02/2026;341,90
12/02/2026;342,95
13/02/2026;344,05
18/02/2026;343,90
19/02/2026;345,40
20/02/2026;348,55
23/02/2026;349,75
24/02/2026;350,10
25/02/2026;351,00
26/02/2026;352,80
27/02/2026;353,15
02/03/2026;353,10
03/03/2026;350,50
04/03/2026;348,65
05/03/2026;347,30
06/03/2026;346,05
09/03/2026;347,40
10/03/2026;346,80
11/03/2026;347,25
12/03/2026;347,50
13/03/2026;346,60
16/03/2026;346,45
17/03/2026;347,70
18/03/2026;348,85
19/03/2026;349,60
20/03/2026;350,65
23/03/2026;350,70
24/03/2026;351,40
