Etanol | Indicador Diário do Etanol Hidratado ESALQ/BM&FBovespa Posto Paulínia (SP);;
Nota;"CIF Paulínia, sem impostos
Excepcionalidade: No dia 08/05/2013, foi considerado o indicador do dia anterior.
* Nota sobre alteração do recolhimento de PIS/Cofins do etanol";
Fonte;Cepea;
Data;À vista R$;À vista US$
01/2010;1.236,0000;666,9820
02/2010;1.144,1667;621,3356
03/2010;877,0652;491,0713
04/2010;861,1750;489,8830
05/2010;764,4048;421,1190
06/2010;762,1667;421,4205
07/2010;846,5952;478,2005
08/2010;886,2727;503,6377
09/2010;934,9762;544,0914
10/2010;1.024,8000;608,5400
11/2010;1.055,7750;616,0310
12/2010;1.130,7619;667,2319
01/2011;1.157,7750;690,7435
02/2011;1.227,4000;735,6895
03/2011;1.525,5000;919,2152
04/2011;1.431,9474;903,1463
05/2011;1.061,9318;658,6686
06/2011;1.156,9762;728,6800
07/2011;1.182,5000;756,4443
08/2011;1.236,1957;774,8422
09/2011;1.245,5714;712,1324
10/2011;1.282,1750;725,1500
11/2011;1.326,1500;740,9490
12/2011;1.295,1667;704,6405
01/2012;1.210,3333;676,2543
02/2012;1.180,2632;687,3553
03/2012;1.252,6136;698,3641
04/2012;1.225,1500;660,3995
05/2012;1.185,4318;597,5136
06/2012;1.132,0250;552,0975
07/2012;1.106,8810;545,3314
08/2012;1.087,2174;536,1339
09/2012;1.106,2895;545,6774
10/2012;1.062,0227;523,2750
11/2012;1.152,9737;556,9368
12/2012;1.185,7778;570,1594
01/2013;1.199,7273;591,2877
02/2013;1.288,1944;652,6761
03/2013;1.281,4750;645,6505
04/2013;1.290,7955;644,6623
05/2013;1.077,5500;529,2840
06/2013;1.072,8000;493,4415
07/2013;1.045,7500;464,3823
08/2013;1.025,4318;437,3423
09/2013;1.071,8571;473,1933
10/2013;1.103,8043;503,7109
11/2013;1.146,4211;498,3689
12/2013;1.225,3421;521,9437
01/2014;1.225,0909;514,0709
02/2014;1.326,0000;557,0035
03/2014;1.353,6053;581,7758
04/2014;1.273,7500;570,4915
05/2014;1.130,2381;508,7310
06/2014;1.150,2105;514,5368
07/2014;1.157,4318;520,2309
08/2014;1.144,7381;504,7010
09/2014;1.136,5455;487,3518
10/2014;1.075,2609;439,0400
11/2014;1.150,1579;450,8437
12/2014;1.202,8250;455,4565
01/2015;1.261,7857;479,0881
02/2015;1.316,3611;467,6500
03/2015;1.192,2500;379,8559
04/2015;1.204,1500;396,1315
05/2015;1.160,7500;379,2180
06/2015;1.146,3333;368,6319
07/2015;1.130,4545;350,9636
08/2015;1.106,0952;314,9219
09/2015;1.214,4524;310,8967
10/2015;1.491,3810;384,5929
11/2015;1.663,3421;439,8832
12/2015;1.646,7000;425,7790
01/2016;1.784,6579;440,5632
02/2016;1.861,4474;468,5979
03/2016;1.820,2955;492,2777
04/2016;1.329,4000;374,1950
05/2016;1.341,5000;379,1924
06/2016;1.427,0909;417,5323
07/2016;1.434,8095;437,9552
08/2016;1.501,6739;468,2626
09/2016;1.596,6429;490,7319
10/2016;1.806,8500;567,8500
11/2016;1.808,0500;541,8475
12/2016;1.812,1429;540,7152
01/2017;1.878,6429;587,8152
02/2017;1.738,3611;560,3461
03/2017;1.578,5870;505,0848
04/2017;1.535,1944;488,9583
05/2017;1.471,7273;458,8555
06/2017;1.381,2381;419,0595
07/2017;1.364,2143;426,6352
08/2017;1.468,3913;466,0900
09/2017;1.508,7000;481,1115
10/2017;1.604,7857;502,3029
11/2017;1.726,9737;529,9595
12/2017;1.811,7632;549,8316
01/2018;1.906,0476;593,3276
02/2018;1.917,9444;591,5267
03/2018;1.932,4048;589,8086
04/2018;1.597,8333;469,2562
05/2018;1.648,9524;453,1029
06/2018;1.680,6667;444,6090
07/2018;1.523,8095;398,4476
08/2018;1.515,2174;385,1578
09/2018;1.748,7368;425,9526
10/2018;1.856,9773;494,0336
11/2018;1.716,9474;453,3632
12/2018;1.738,8333;447,7700
01/2019;1.666,2143;446,0414
02/2019;1.783,5000;479,1295
03/2019;1.838,3421;478,6026
04/2019;1.893,0952;486,0214
05/2019;1.712,6818;428,6245
06/2019;1.688,9474;437,4111
07/2019;1.743,4545;461,4018
08/2019;1.790,1136;445,2073
09/2019;1.786,4048;433,1986
10/2019;1.873,8478;459,0322
11/2019;1.976,0000;475,5432
12/2019;2.067,3421;502,9389
01/2020;2.132,8409;514,0214
02/2020;2.188,0556;503,6006
03/2020;1.819,1818;374,8109
04/2020;1.424,3000;267,6550
05/2020;1.497,4250;266,1445
06/2020;1.696,2857;326,7081
07/2020;1.698,0652;321,8130
08/2020;1.791,8571;328,1633
09/2020;1.864,7857;345,2805
10/2020;2.047,7619;363,7548
11/2020;2.125,2500;392,1205
12/2020;2.110,5000;410,6095
01/2021;2.163,8684;404,4884
02/2021;2.464,5000;454,2778
03/2021;2.727,3043;483,4904
04/2021;2.621,6500;471,4630
05/2021;2.999,5238;566,8848
06/2021;2.962,0714;589,4681
07/2021;2.988,5714;579,2938
08/2021;3.203,1818;610,2100
09/2021;3.333,3095;629,8119
10/2021;3.594,5500;649,1340
11/2021;3.780,8500;680,3750
12/2021;3.421,5000;604,7281
01/2022;3.332,6429;602,8895
02/2022;2.937,0000;565,9484
03/2022;3.312,9318;668,2545
04/2022;3.743,3684;788,4368
05/2022;3.389,1364;685,0155
06/2022;3.135,0476;621,0981
07/2022;3.018,5238;562,4924
08/2022;2.733,0435;530,9270
09/2022;2.458,5000;469,8133
10/2022;2.768,0250;527,3710
11/2022;2.921,9250;553,4485
12/2022;2.871,6667;546,8719
01/2023;2.767,2045;532,7332
02/2023;2.803,4444;541,3483
03/2023;2.814,2609;540,8100
04/2023;3.043,7500;606,7767
05/2023;2.694,5455;540,8891
06/2023;2.636,0000;544,1214
07/2023;2.270,5476;472,8914
08/2023;2.251,4783;459,1313
09/2023;2.293,3000;463,7795
10/2023;2.308,6667;455,8881
11/2023;2.239,1500;457,1430
12/2023;2.019,5526;412,1521
01/2024;2.062,5000;419,4859
02/2024;2.249,8947;453,4711
03/2024;2.244,7250;450,8410
04/2024;2.480,5455;483,9441
05/2024;2.415,5238;470,2781
06/2024;2.488,8250;461,3800
07/2024;2.706,9348;488,2691
08/2024;2.694,2727;485,2950
09/2024;2.576,9524;465,2129
10/2024;2.655,7609;472,0509
11/2024;2.727,6053;469,9463
12/2024;2.740,2368;449,6084
01/2025;2.891,1591;480,8845
02/2025;2.948,2750;511,3905
03/2025;2.880,1842;501,5511
04/2025;2.825,5000;489,2805
05/2025;2.780,0476;490,2795
06/2025;2.668,1250;481,2450
07/2025;2.661,1304;481,4157
08/2025;2.771,3095;508,9171
09/2025;2.853,1818;531,5664
10/2025;2.844,4565;528,0574
11/2025;2.932,1579;549,2411
12/2025;3.012,8750;552,3350
01/2026;3.151,0476;590,9176
02/2026;3.074,0278;591,0200
03/2026;3.037,2059;580,6706
