Data,SPOT,FUT,BASE
02/01/2026,"69,45",70,"-0,55"
05/01/2026,"69,38","69,58","-0,2"
06/01/2026,"69,13","69,41","-0,28"
07/01/2026,69,"68,99","0,01"
08/01/2026,"68,94","68,79","0,15"
09/01/2026,"69,02","68,73","0,29"
12/01/2026,"68,84","68,83","0,01"
13/01/2026,"68,79","68,58","0,21"
14/01/2026,"68,43","68,69","-0,26"
15/01/2026,"68,37","68,53","-0,16"
16/01/2026,"68,41","71,16","-2,75"
19/01/2026,"68,12","71,12",-3
20/01/2026,"67,46","70,87","-3,41"
21/01/2026,"67,04","69,71","-2,67"
22/01/2026,"66,72","69,31","-2,59"
23/01/2026,"66,63","68,74","-2,11"
26/01/2026,"66,69",69,"-2,31"
27/01/2026,"66,22","68,95","-2,73"
28/01/2026,"65,87","67,96","-2,09"
29/01/2026,"65,96","68,43","-2,47"
30/01/2026,"66,1","69,23","-3,13"
02/02/2026,"66,17","69,23","-3,06"
03/02/2026,"66,28","70,2","-3,92"
04/02/2026,"66,44","69,78","-3,34"
05/02/2026,"66,49","70,07","-3,58"
06/02/2026,"66,78","69,07","-2,29"
09/02/2026,"67,09","68,9","-1,81"
10/02/2026,"67,06","69,84","-2,78"
11/02/2026,"67,21","70,05","-2,84"
12/02/2026,"67,67","70,74","-3,07"
13/02/2026,"68,14","71,12","-2,98"
18/02/2026,"68,39","71,05","-2,66"
19/02/2026,"68,8","71,29","-2,49"
20/02/2026,"68,74","71,99","-3,25"
23/02/2026,"69,02","71,29","-2,27"
24/02/2026,"69,14","70,88","-1,74"
25/02/2026,"69,28","70,56","-1,28"
26/02/2026,"69,28","71,35","-2,07"
27/02/2026,"69,53","72,14","-2,61"
02/03/2026,"69,75","71,75",-2
03/03/2026,"69,98","72,4","-2,42"
04/03/2026,"70,23","71,64","-1,41"
05/03/2026,"70,24","71,92","-1,68"
06/03/2026,"70,56","72,32","-1,76"
09/03/2026,"70,63","72,41","-1,78"
10/03/2026,"71,09","71,78","-0,69"
11/03/2026,"71,32","71,91","-0,59"
12/03/2026,"71,56","71,87","-0,31"
13/03/2026,"71,98","71,82","0,16"
16/03/2026,"72,1","71,88","0,22"
17/03/2026,"72,02","72,07","-0,05"
18/03/2026,"71,2","72,34","-1,14"
19/03/2026,"71,63","71,87","-0,24"
20/03/2026,"71,37","71,98","-0,61"
23/03/2026,"71,25","71,98","-0,73"
24/03/2026,"71,01","72,04","-1,03"
25/03/2026,"70,45","72,04","-1,59"
26/03/2026,"70,33","72,02","-1,69"
27/03/2026,"70,34","72,17","-1,83"
30/03/2026,"70,29","73,53","-3,24"
31/03/2026,"70,37","72,93","-2,56"
