Data,SPOT,FUT,BASE
02/2020,"51,69","53,43","-1,74"
03/2020,"57,41","50,69","6,72"
04/2020,"52,92","47,23","5,69"
05/2020,"50,12","45,08","5,04"
06/2020,"47,76","48,1","-0,34"
07/2020,"49,7","50,98","-1,28"
08/2020,"56,62","60,59","-3,97"
09/2020,"60,06","66,46","-6,4"
10/2020,"72,71","79,63","-6,92"
11/2020,"80,31","78,04","2,27"
12/2020,"75,33","82,76","-7,43"
01/2021,"83,65","86,78","-3,13"
02/2021,"83,89","88,28","-4,39"
03/2021,"91,51","96,59","-5,08"
04/2021,"97,15","103,2","-6,05"
05/2021,"100,72","95,84","4,88"
06/2021,"92,09","89,15","2,94"
07/2021,"97,48","99,38","-1,9"
08/2021,"98,64","91,62","7,02"
09/2021,"92,44","91,97","0,47"
10/2021,"89,92","88,44","1,48"
11/2021,"84,19","88,77","-4,58"
12/2021,"88,03","88,67","-0,64"
01/2022,"96,04","98,75","-2,71"
02/2022,"96,85","97,4","-0,55"
03/2022,"99,69","91,31","8,38"
04/2022,"88,78","92,26","-3,48"
05/2022,"87,36","88,42","-1,06"
06/2022,"85,64","84,64",1
07/2022,"81,98","86,11","-4,13"
08/2022,"82,52","85,5","-2,98"
09/2022,"84,06","89,76","-5,7"
10/2022,"84,53","86,6","-2,07"
11/2022,"84,99","88,47","-3,48"
12/2022,"86,01","89,83","-3,82"
01/2023,"86,11",89,"-2,89"
02/2023,"85,74","87,29","-1,55"
03/2023,"84,88","79,63","5,25"
04/2023,"74,85","65,29","9,56"
05/2023,"58,16","53,71","4,45"
06/2023,"55,04","53,3","1,74"
07/2023,"54,98","55,35","-0,37"
08/2023,"53,34","53,15","0,19"
09/2023,"54,63","58,29","-3,66"
10/2023,"59,13","60,7","-1,57"
11/2023,"60,65","69,88","-9,23"
12/2023,"66,77","71,12","-4,35"
01/2024,"65,83","65,17","0,66"
02/2024,"62,58","60,22","2,36"
03/2024,"62,72","60,4","2,32"
04/2024,"59,63","57,34","2,29"
05/2024,"58,92","58,22","0,7"
06/2024,"57,86","57,02","0,84"
07/2024,"57,22","59,59","-2,37"
08/2024,"59,58","61,61","-2,03"
09/2024,"62,6","68,93","-6,33"
10/2024,"68,79","72,94","-4,15"
11/2024,"73,68","71,42","2,26"
12/2024,"72,92","73,8","-0,88"
01/2025,"74,17","75,56","-1,39"
02/2025,"80,76","86,7","-5,94"
03/2025,"89,12","77,72","11,4"
04/2025,"83,67","76,34","7,33"
05/2025,"73,3","62,95","10,35"
06/2025,"68,15","63,44","4,71"
07/2025,"63,63","66,83","-3,2"
08/2025,"63,87","65,49","-1,62"
09/2025,"64,77","65,28","-0,51"
10/2025,"65,35",68,"-2,65"
11/2025,"67,54","73,22","-5,68"
12/2025,"69,62","70,25","-0,63"
01/2026,"67,84","69,23","-1,39"
02/2026,"67,86","72,14","-4,28"
03/2026,"70,9","72,93","-2,03"
